id,name,description,deadline,steps,host,type,majors,link,location,eligibility,funding
1,Scientific Internships at Institute of Science and Technology Austria (ISTA),"The Institute of Science and Technology Austria (ISTA) offers year-round scientific internships for students pursuing or holding a bachelor's or master’s degree in natural or computer sciences, mathematics, or related disciplines. Interns can work with research groups for up to one year and gain hands-on experience in scientific research. Applications are accepted continuously, and students must contact a research group leader directly with their CV and motivation. The program provides an official employment contract and a minimum monthly gross salary of €1,523. ",,Application,Institute of Science and Technology Austria ,Internship,"Chemistry, Biology, Physics, Computer Science, Mathematics",https://phd.pages.ist.ac.at/scientific-internships/,Austria,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Monthly stipend
2,Organisation for Economic Co-operation and Development (OECD) Internship Programme 2026 in France,"The OECD Internship Programme offers 500 internship positions to motivated students from all countries who are enrolled in undergraduate, master’s, or doctoral programs. The internship takes place mainly in Paris, France, and lasts for 6 months, with the possibility of extension up to 12 months. Selected interns gain practical experience in economics, policy, and international development under the guidance of OECD staff. Each intern receives a monthly allowance of €1,000 and visa assistance. The program accepts applications year-round, providing a gateway into one of the world’s leading policy institutions.",,"Application, Interview, Written Test",Organisation for Economic Co-operation and Development ,Internship,"Economics, Political Science and International Relations, Sociology",https://www.oecd.org/en/about/careers/internships.html,"France, hybrid, online","UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Monthly stipend
3,KAUST Microelectronics Winter Camp (MEWC) 2026 in Saudi Arabia,"The KAUST MEWC Winter Camp is a 6-week research-based program designed for global students to explore microelectronics and applied technologies. Participants engage in lectures, workshops, and laboratory work at one of the most advanced research campuses in the Middle East. KAUST provides financial coverage for travel, accommodation, and visa assistance. The program gives access to world-class research facilities and mentorship. It offers a unique opportunity to experience scientific innovation in an international setting.",2025-10-25,"Application, Interview",King Abdullah University of Science and Technology (KAUST),Internship,"Electrical and Computer Engineering, Physics, Chemical and Materials Engineering",https://cemse.kaust.edu.sa/internship-opportunities/microelectronics-winter-camp-mewc,Saudi Arabia,"UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
4,Youth Future Summit Centre for International Peace Studies (CIPS) 2026 in Switzerland,"The Youth Future Summit organized by CIPS gathers young leaders from over 120 countries in Geneva to address global challenges such as climate change, AI, and sustainable development. Participants engage in discussions, workshops, and visits to major institutions including the UN and CERN. The fully funded program includes flights, accommodation, meals, and local transportation. It serves as a global networking platform for changemakers. The summit will be held from 5–8 February 2026.",2025-12-05,Application,Centre for International Peace Studies (CIPS),Summit,"Economics, Political Science and International Relations, Sociology, World Languages, Literature and Culture, Biology, Computer Science, Physics, Chemistry, Civil and Environmental Engineering",https://thecips.org/fully-funded-application-youth-future-summit-2026/,Switzerland,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
5,Youth Global Forum Centre for Global Dialogue and Leadership (CGDL) 2026 in Spain,"The Youth Global Forum 2026 unites activists and emerging leaders from around the world to discuss sustainable futures and global policy. Organized by the Centre for Global Dialogue and Leadership (CGDL), the forum aligns with EU youth frameworks. The four-day fully funded event in Madrid covers travel, accommodation, meals, and cultural exchange activities. Participants gain certification and access to leadership workshops. The forum runs from 15–18 January 2026.",2025-11-25,Application,Centre for Global Dialogue and Leadership (CGDL),Forum,All,https://thecgdl.org/ygf2026/,Spain,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
6,Global Change Summit 2025 in Turkiye,"The Global Change Summit 2025 brings together students, educators, and professionals to collaborate on sustainability, peacebuilding, and climate action. The event lasts four days, from 12–15 December 2025, featuring keynote lectures and interactive workshops. Fully funded benefits include flights, accommodation, meals, and visa support. Participants learn from global experts and build networks for positive change. It is a transformative experience fostering youth leadership in SDGs.",2025-10-15,Application,Organisation for Global Peace and Development (OGPD),Summit,All,https://theogpd.org/gcs-2025/,Turkiye,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
7,Human Rights Summit 2026 in Canada,"The Human Rights Summit 2026, held at the University of British Columbia, focuses on freedom of speech, equality, and education as the foundation of human rights. The four-day conference includes lectures, cultural visits, and award ceremonies. Partial and full funding options are available, covering airfare, meals, and accommodation. Participants from all disciplines are welcome. The summit takes place from 21–24 May 2026.",2025-10-20,Application,Vancouver Foundation for Research and Innovation (VFRI),Summit,"Education, Economics, Political Science and International Relations, Sociology, History",https://www.vfri.ca/human-rights-summit/,Canada,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
8,UPG Sustainability Leadership Program 2026 in the USA,"The UPG Sustainability Leadership Program is a one-week fully funded training program in Hurricane Island, Maine. It aims to equip participants with leadership skills for advancing the UN Sustainable Development Goals. The program includes workshops, networking events, and mentorship by global sustainability experts. All travel and participation costs are covered except visa fees. Participants receive official support letters for visa applications and form lasting professional networks",2025-12-31,Application,United People Global (UPG),Program,All,https://act.unitedpeople.global/upg-sustainability-leadership/,USA,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
9,Global Leadership Challenge (GLC) 2025,"The GLC is a leadership development program co-hosted by the University of Oxford and the St. Gallen Symposium. It gathers 100 young leaders from around the world to explore responsible leadership through action-based projects. Participants receive mentorship, collaborate on global challenges, and gain an Oxford Character Project certificate. Top-performing teams are invited to the St. Gallen Symposium 2026. The program promotes cross-cultural learning and sustainable development leadership.",2025-11-02,Application,University of Oxford & St. Gallen Symposium,Forum,"Business Administration, Economics, Political Science and International Relations, Sociology, World Languages, Literature and Culture",https://www.globaleadershipchallenge.com/apply,online,"GrM 1 year, GrM 2 year",Full
10,École Polytechnique Fédérale de Lausanne (EPFL) Summer Research Program (SRP) 2026,"The EPFL SRP offers 8 weeks of hands-on research in Lausanne, Switzerland. Participants work in life sciences, biophysics, bioinformatics, or related disciplines under faculty supervision. The program enhances laboratory experience, research methodology, and academic communication skills. Students also gain international exposure and networking opportunities at one of Europe’s top universities. It is fully immersive and highly competitive.",2025-11-15,Application,École Polytechnique Fédérale de Lausanne (EPFL),Internship,"Biology, Computer Science, Chemistry, Physics",https://www.epfl.ch/schools/sv/education/summer-research-program/,Switzerland,"UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
11,World Leadership Forum (WLF) 2026,"The WLF 2026 gathers youth leaders, policymakers, and professionals in Warsaw to address global issues such as climate action, AI, and governance. Organized by Nexus Public Policy Institute, it empowers participants through debates, training, and diplomatic networking. Attendees can apply for fully funded, partially funded, or self-funded participation. The forum encourages youth innovation, leadership, and sustainable policymaking. Online participation with digital certification is also available.",2025-10-31,Application,Nexus Public Policy Institute,Forum,All,https://www.nexuspolicyinstitute.org/world-leadership-forum2026,Poland/online,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
12,Max Planck Computer Science Internship,"The Max Planck Institutes for Informatics, Software Systems, and Security & Privacy offer fully funded research internships for outstanding students in Computer Science. Interns work on cutting-edge projects under the supervision of faculty mentors in Saarbrücken, Kaiserslautern, or Bochum. The program provides full financial support including housing, travel, and stipends. Internships typically last 12–14 weeks and can be extended. English is the working language, and knowledge of German is not required.",2025-11-01,Application,"Max Planck Institutes (MPI-INF, MPI-SWS, MPI-SP)",Internship,"Computer Science, Electrical and Computer Engineering",apply.cis.mpg.de/register/internship,Germany,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Monthly stipend
13,World Youth Forum 2026 in Portugal,"The World Youth Forum 2026 in Porto, Portugal, gathers young leaders to discuss global issues like sustainability, innovation, and diplomacy. The 4-day forum includes workshops, networking, and leadership sessions to foster civic engagement and global cooperation. Scholarships are available - fully funded, partially funded, and free access options. The event aims to promote youth empowerment and intercultural dialogue. IELTS is not required; English proficiency is sufficient.",2025-11-30,Application,Centre for Diplomatic Advancement (CDA),Forum,All,thecda.co/wyf-2026,Portugal,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
14,European Youth Summit 2026 ,"The European Youth Summit 2026 brings together young visionaries, changemakers, and future leaders from across Europe and globe for four transformative days in Geneva, Switzerland. Join this premier international gathering designed to empower youth through diplomatic engagement, leadership development, and cross-cultural collaboration.",2026-03-10,Application,Centre for Diplomatic Advancement (CDA),Forum,All,https://thecda.co/european-youth-summit-2026/,Switzerland,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
15,Lunar and Planetary Institute (LPI) / NASA Summer Internship 2026,"The Lunar and Planetary Institute offers a 10-week, fully funded summer internship in collaboration with NASA Johnson Space Center. Selected undergraduate students conduct research in planetary science under expert mentorship. Participants receive at least $13,351 to cover all living and travel expenses. The program helps students gain professional research experience and expand their scientific networks. IELTS/TOEFL is not required if an English proficiency certificate is provided by the university.",2025-12-12,Application,Lunar and Planetary Institute (LPI) NASA,Internship,"Physics, Mechanical and Aerospace Engineering, Mathematics",lpi.usra.edu,USA,"UG 2 year, UG 3 year",Full
16,European Southern Observatory (ESO) Science Communication Internship 2025,"ESO offers a six-month onsite internship in its Communication Department in Garching, Germany. Interns will work on news articles, web content, videos, and exhibits, learning to communicate science for public audiences. The program includes monthly living allowance, accommodation, and return airfare. The work experience involves both internal and external communications in an international collaborative environment. Applicants must submit motivation letter, CV, and writing samples.",2025-12-08,Applcation,European Southern Observatory (ESO),Internship,"Physics, Chemistry, Biology, Computer Science, Sociology, World Languages, Literature and Culture",https://recruitment.eso.org/jobs/2025_0009,Germany,All,Full
17,GET_Involved ERASMUS+ Traineeship Programme,"The GET_Involved programme under ERASMUS+ offers traineeships at FAIR/GSI for students and recent graduates. Trainees participate in structured international project environments, gaining technical and soft skills while working in science and engineering topics. The programme supports stay abroad with financial support for subsistence and travel; additional accommodation support possible depending on merit. Duration ranges from 3 to 12 months depending on project and agreement. Applicants undergo a multi-step process including application, matching with host department, and institutional confirmation.",,Application,FAIR / GSI (Germany) under ERASMUS+,Internship,"Engineering, Life Sciences",https://fair-center.eu/career/get_involved,Germany,"UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
18,DAAD University Summer Courses in Germany for Foreign Students and Graduates,"A fully funded German language summer program by DAAD for undergraduate and graduate students. Participants attend language and regional studies courses in Germany (June–September). The program covers tuition, accommodation, insurance, and travel allowance. Courses are taught exclusively in German and require in-person attendance. Applicants must have completed at least two years of university studies.",2025-12-30,Application,DAAD (German Academic Exchange Service),Program,"World Languages, Literature and Culture, History",daad.de/go/en/stipa50035295,Germany,"UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
19,Fund for Peace Internship Program,"A remote or part-time internship focused on conflict prevention, peacebuilding, and human rights. Interns conduct research, data analysis, and writing projects, gaining NGO experience in global security and development. The internship is flexible and can last 3–6 months. It offers a stipend ($350–700 per month) and may lead to professional opportunities. Open to undergraduate, graduate, and recent graduates worldwide.",,"Application, Interview",The Fund for Peace (FFP),Internship,"Political Science and International Relations, Sociology",idealist.org,online,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Monthly stipend
20,MBZUAI Undergraduate Research Internship Program (UGRIP),"A fully funded 4-week summer AI research internship at the Mohamed bin Zayed University of Artificial Intelligence in Abu Dhabi. Participants conduct supervised research in AI fields like NLP, ML, and CV. Benefits include airfare, visa, accommodation, stipend, and mentorship by top AI faculty. The program is highly competitive (4% acceptance rate). It is ideal for students seeking early research experience in AI.",2026-02-28,Application,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Internship,Computer Science,mbzuai.ac.ae,UAE,"UG 2 year, UG 3 year",Full
21,Taiwan International Internship Program (TIIP),"A fully funded 2-month research internship hosted by Academia Sinica, Taiwan’s leading research institution. Participants choose three mentors and conduct laboratory work under professional supervision. The program covers accommodation, airfare, and monthly stipend. Interns present their findings through poster and oral presentations. Open to senior undergraduates and master's students worldwide.",2026-01-15,Application,Academia Sinica,Internship,"Biology, Chemistry, Physics, Engineering, Computer Science",https://tigp.sinica.edu.tw/pages/3127,Taiwan,"UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
22,Okinawa Institute of Science and Technology (OIST) Research Internship Program ,"A prestigious research internship at the Okinawa Institute of Science and Technology, Japan. Interns work in cutting-edge laboratories under faculty mentorship for 3–6 months. The program provides airfare, accommodation, and stipend support. Participants gain hands-on experience across diverse STEM fields and exposure to graduate-level research. Ideal for students considering research careers or OIST PhD studies.",2025-10-15,Application,Okinawa Institute of Science and Technology,Internship,"Physics, Chemistry, Biology, Computer Science",https://www.oist.jp/admissions,Japan,"UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
23,CUHK Summer Undergraduate Research Programme (SURP),"An 8-week research experience at the Chinese University of Hong Kong for international undergraduates. Students conduct supervised research projects under CUHK professors and earn academic credit. The program also includes orientation and cultural exchange activities. Accommodation is provided on campus, and all projects are conducted in English. Participants gain global research exposure and intercultural understanding.",2026-02-28,,The Chinese University of Hong Kong (CUHK),Internship,All,https://www.summer.cuhk.edu.hk/surp/,Hong Kong,"UG 2 year, UG 3 year",Full
24,Mayo Clinic SURF (Summer Undergraduate Research Fellowship),"The Mayo Clinic SURF program allows undergraduate students to work in biomedical research labs under mentorship. Participants engage in project work, attend seminars, and present their findings. The program covers research training in a clinical research environment. It’s a competitive but accessible path for undergrads in life sciences and related fields. Offers strong credentialing and networking in health research.",2026-02-02,Application,Mayo Clinic,Internship,"Biology, Biomedical Sciences",https://college.mayo.edu/academics/biomedical-research-training/summer-undergraduate-research-fellowship-surf/application-process/,USA,"UG 2 year, UG 3 year",Full
25,SAI Barcelona Internships Summer I 2026,"An 8-week program in Barcelona offering internships in various fields: Finance, Communications, Design, Education, Hospitality etc. Designed to give international experience, build skills, work in multicultural professional environments. Applicants from various countries can apply; Spanish not required (but helps). Combines internship work + academic credits. Has standard requirements like personal statement, recommendations etc.",2026-03-01,Application,SAI Programs,Internship,"Education, Economics, Political Science and International Relations, Sociology, World Languages, Literature and Culture",https://www.saiprograms.com/barcelona/bcn-intern/bcn-intern-summer-i-2026,Spain,"UG 2 year, UG 3 year, UG 4 year",Self-paid
26,CIEE Global Internship Program,"The CIEE Global Internship Program offers students an eight-week international internship in cities worldwide, combining professional experience with academic coursework. Participants work full-time in their field of interest while earning 5–6 university credits and exploring the host city’s culture. CIEE collaborates individually with students to find placements tailored to their goals and major. The program includes accommodation, cultural activities, and scholarships of up to $5,000 for eligible students. Internships are unpaid but provide valuable global networking and skill-building opportunities.",2026-02-01,Application,CIEE (Council on International Educational Exchange) in collaboration with University of Kansas,Internship,All,https://studyabroad.ku.edu/ciee-summer-global-internships,Global,"UG 2 year, UG 3 year",Full
27,Yessenov Research Internships / Yessenov Foundation,"Yessenov Foundation (Kazakhstan) runs programs including “Scientific Internships in Laboratories” supporting top students to undertake summer internships in labs around the world. These internships are funded (travel, stipend) under their research internship scheme. Selection is via competitive rounds (two selections). It’s targeted to students in natural sciences, technical, IT fields. The foundation also supports scholarships, English programs, and innovation projects.",2025-11-06,Application,Shakhmardan Yessenov Foundation,Internship,"Biology, Mathematics, Physics, Computer Science, Electrical and Computer Engineering, Chemistry",https://yessenovfoundation.org/en/about-us/programs/science/research-internships/,Global,"UG 2 year, UG 3 year",Full
28,Amgen Scholars Program IIIT Hyderabad,"Amgen Scholars Program at IIIT Hyderabad will enable participation of 10 undergraduate students from the Asia region in an intensive eight-week research training program with an emphasis on the application of modern Artificial Intelligence (AI) and Machine Learning (ML) methods in healthcare, drug design & discovery, and fundamental sciences. Each scholar will be mentored by a faculty member and integrated into an active research lab to pursue a specific project. The program includes weekly lectures, tutorials, and hands-on sessions designed to build foundational and applied expertise in AI/ML. At the end of the program, scholars will submit a research report and present their findings through a poster or oral presentation at the Amgen Scholars Asia Symposium, an event that brings together all Amgen Scholars from all host institutions across Asia. All scholars will receive a stipend, on-campus accommodation, and travel support.",2026-02-01,Application,"IIIT Hyderabad, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://amgenscholars.iiit.ac.in/apply.html,India,"UG 2 year, UG 3 year",Full
29,Kyoto University Amgen Scholars Program,"The Amgen Scholars Program at Kyoto University is eight weeks of intensive research in the sciences. Amgen Scholars will be assigned to one of Kyoto University departments or interdisciplinary areas that traditionally support science and biotechnology research. These areas may include: Biochemistry / Bioengineering / Bioinformatics / Cheminformatics / Biopsychology / Biotechnology / Chemical and Biomolecular Engineering / Chemistry / Immunology / Medical Pharmacology / Microbiology / Molecular, Cell and Developmental Biology / Molecular Genetics / Molecular Medicine / Molecular Pharmacology / Neurobiology / Neuroscience / Pathology / Physiological Psychology / Physiological Science / Statistics / Toxicology",2026-02-01,Application,"Kyoto University, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://www.opir.kyoto-u.ac.jp/study/en/curriculum/amgenscholars/,Japan,"UG 2 year, UG 3 year",Full
30,NUS AMGEN 2026,"The key objective of the program is to nurture current undergraduate students who are committed and looking to further their career in biology or related sciences through graduate studies. The program features eight weeks of intensive biomedical or biotechnological research experience in basic and translational sciences. Research training and experiences are mainly provided by faculty members and research staff of the Department of Biological Sciences, who anchors the Life Sciences Program and partner Departments from the Yong Loo Lin School of Medicine at the National University of Singapore.",2026-02-01,Application,"National University of Singapore, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://www.dbs.nus.edu.sg/outreach/amgen-scholars-program/,Singapore,"UG 2 year, UG 3 year",Full
31,The University of Tokyo,"The objective of the program is to provide undergraduate students from different countries (including some from Japan) who are committed to or who are considering a career in biology or related sciences and looking to continue to graduate studies, with eight weeks of biomedical research experience in the basic and translational sciences.",2026-02-01,Application,"UTokyo, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://www.u-tokyo.ac.jp/en/prospective-students/amgen_program.html,Japan,"UG 2 year, UG 3 year",Full
32,Tsinghua Amgen Scholars,"The Amgen Scholars Program is an international program aiming to increase research opportunities for students committed to pursuing careers in sciences. The Amgen Scholars Program at Tsinghua is an 8-week faculty-mentored residential summer research program that provides undergraduate students the opportunity to conduct research in a lab environment, engage in cutting-edge research experience, and learn more about biotechnology and drug discovery.",2026-02-01,Application,"Tsinghua University, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://tsinghuaamgenscholars.com/#,China,"UG 2 year, UG 3 year",Full
33,ETH Zurich Amgen Scholars Program,ETH Zurich Amgen Scholars Program offers 10 - 12 undergraduate Bachelor students from across Europe the opportunity to take part in a summer research project in one of the laboratories at ETH.,2026-02-01,Application,"Eidgenössische Technische Hochschule Zürich, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://ethz.ch/en/studies/non-degree-courses/summer-offers/summer-projects/amgen-scholars.html,Switzerland,"UG 2 year, UG 3 year",Full
